Song Name,Song ID,Artists,Release Date,Genres,Time (ms)
Crazy,74irxdVWstNlEQjsvArITq,['Aerosmith'],1993-01-01,"['album rock', 'classic rock', 'hard rock', 'rock']",316
Sweet Dreams (Are Made Of This),1ENLIbxO4Uma773neTHxbp,['Marilyn Manson'],1995-01-01,"['alternative metal', 'hard rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",293
Are You Gonna Go My Way,45Ia1U4KtIjAPPU7Wv1Sea,['Lenny Kravitz'],1993-03-09,"['permanent wave', 'rock']",211
Breakfast At Tiffany's,1uzWOoJdADfstQuFtQFTUn,['Deep Blue Something'],1995-01-01,['pop rock'],257
Jeremy,62nQ8UZVqR2RMvkJHkcO2o,['Pearl Jam'],1991-08-27,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'permanent wave', 'rock']",318
I'd Do Anything For Love (But I Won't Do That) - Single Edit,391CwgcBxvUHmEKda2b5In,['Meat Loaf'],1993,['album rock'],316
Ordinary World,0wokCRaKD0zPNhMRXAgVsr,['Duran Duran'],1993-02-15,"['album rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']",340
Shape Of My Heart,6CKoWCWAqEVWVjpeoJXyNH,['Sting'],1993-03-01,"['permanent wave', 'soft rock', 'sophisti-pop']",279
Just A Girl,36bOT34EdRNrNhCWMwNJKu,['No Doubt'],1995-10-10,"['dance pop', 'dance rock', 'permanent wave', 'pop rock', 'rock']",208
Send Me An Angel,1bKQ48M9onID2kbSpRy8kK,['Scorpions'],1990-01-01,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'rock']",273
Celebrity Skin,2V4Bc2I962j7acQj1N0PiQ,['Hole'],1998-01-01,"['alternative rock', 'grunge', 'riot grrrl']",162
Lullaby,5qgBvugGSAnKWCpWAiwusi,['The Cure'],2001-11-13,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",247
Your Woman,4ACxa9buEUnOdYEoPcnMpi,['White Town'],1997-02-24,['derby indie'],259
Spiderwebs,020gYw7juUaNs2tLYMlfms,['No Doubt'],1995-10-10,"['dance pop', 'dance rock', 'permanent wave', 'pop rock', 'rock']",266
This Ain't A Love Song,0ZLBD6hHGN9LYOtNlu2n8e,['Bon Jovi'],1995-06-27,"['glam metal', 'rock']",306
Head Like A Hole,3ckd4YA4LcD3j50rfIVwUe,['Nine Inch Nails'],1989-10-20,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'grunge', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",299
Tom's Diner,7f9sC9fvtjYSZYOLSmKJlq,"['Suzanne Vega', 'DNA']",1991-01-01,"['lilith', 'new romantic', 'new wave pop', 'permanent wave', 'singer-songwriter']",228
